,Title,Director,Cast,id,genres,imdb_id,original_language,popularity,release_date,runtime,vote_average,vote_count
673,Children of War,Mrityunjay Devvrat,"Farooq Shaikh, Victor Banerjee, Pawan Malhotra, Indraneil Sengupta",270567.0,"Drama,History,War",tt3369670,hi,0.6,2014,2 hrs 40 min,4.7,3
674,Heropanti,Sabbir Khan,"Tiger Shroff, Kriti Sanon & Prakash Raj",271200.0,"Romance,Action",tt3142232,hi,6.35,2014,2 hrs 26 min,5.9,44
675,Filmistaan,Nitin Kakkar,"Sharib Hashmi, Inaamulhaq, Kumud Mishra, Gopal Dutt",161064.0,Comedy,tt2417560,hi,1.372,2014,1 hrs 57 min,6.9,14
676,Fugly,Kabir Sadanand,"Jimmy Sheirgill, Mohit Marwah, Kiara Advani, Vijender Singh, Arfi Lamba",281730.0,"Comedy,Drama,Thriller",tt3683702,hi,1.437,2014,2 hrs 14 min,5.4,8
677,Machhli Jal Ki Rani Hai,Debaloy Dey,"Bhanu Uday, Swara Bhaskar, Murali Sharma, Reema Debnath, Sakha Kalyani Deepraj Rana",415908.0,Horror,tt2208248,hi,1.584,2014,2 hrs 0 min,4.5,4
678,Humshakals,Sajid Khan,"Saif Ali Khan, Esha Gupta, Riteish Deshmukh, Bipasha Basu, Ram Kapoor, Tamannaah Bhatia",273505.0,Comedy,tt3036740,hi,3.196,2014,2 hrs 40 min,3.4,36
679,Ek Villain,Mohit Suri,"Sidharth Malhotra, Riteish Deshmukh, Shraddha Kapoor, Aamna Sharif",276935.0,"Action,Crime,Thriller",tt3175038,hi,8.522,2014,2 hrs 9 min,6.4,126
680,Bobby Jasoos,Samar Shaikh,"Vidya Balan, Ali Fazal, Arjan Bajwa, Anupriya Kapoor, Supriya Pathak, Tanvi Azmi",272420.0,"Drama,Action,Comedy",tt3359290,hi,2.527,2014,2 hrs 1 min,5.7,27
681,Lekar Hum Deewana Dil,Arif Ali,"Armaan Jain, Deeksha Seth, Nikita Dutta",279871.0,"Romance,Comedy",tt3716142,hi,0.981,2014,2 hrs 10 min,7.3,3
682,Humpty Sharma Ki Dulhania,Shashank Khaitan,"Varun Dhawan, Alia Bhatt, Sidharth Shukla",276928.0,"Drama,Comedy,Romance",tt3678938,hi,7.503,2014,2 hrs 13 min,6.4,89
683,Hate Story 2,Vishal Pandya,"Surveen Chawla, Sushant Singh, Jay Bhanushali, Siddharth Kher, Rajesh Khera",282346.0,"Drama,Thriller",tt3619772,hi,6.636,2014,2 hrs 10 min,4.4,26
684,Riyasat,Ashok Tyagi,"Rajesh Khanna, Aryaman Ramsay, Aryan Vaid, Raja Murad, Vishwajeet Pradhan",495599.0,Crime,tt2283894,hi,0.6,2014,1 hrs 20 min,0.0,0
685,Amit Sahni Ki List,Ajay Bhuyan,"Vir Das, Vega Tamotia, Anindita Nayar, Kavi Shastri",283311.0,"Romance,Comedy",tt3822600,hi,0.6,2014,1 hrs 50 min,6.0,1
686,Pizza,Akshay Akkineni,"Akshay Oberoi, Parvathy Omanakuttan, Dipannita Sharma",282353.0,"Thriller,Horror",tt3794302,hi,1.992,2014,1 hrs 47 min,4.7,9
687,Kick,Sajid Nadiadwala,"Salman Khan, Jacqueline Fernandez, Nawazuddin Siddiqui, Randeep Hooda",280690.0,"Action,Romance,Comedy,Crime",tt2372222,hi,10.671,2014,2 hrs 26 min,5.8,122
688,Singham Returns,Rohit Shetty,"Ajay Devgn, Kareena Kapoor, Amol Gupte, Anupam Kher",285803.0,Action,tt2309764,hi,6.595,2014,2 hrs 22 min,6.1,73
689,Mad About Dance,Saahil Prem,"Saahil Prem, Amrit Maghera",339796.0,"Music,Drama",tt3814100,hi,0.905,2014,2 hrs 25 min,4.5,2
690,Mardaani,Pradeep Sarkar,"Rani Mukerji, Tahir Raj Bhasin, Jisshu Sengupta",287767.0,"Action,Crime,Drama,Thriller",tt3495000,hi,5.99,2014,1 hrs 53 min,6.6,80
691,Raja Natwarlal,Kunal Deshmukh,"Emraan Hashmi, Humaima Malick, Paresh Rawal, Deepak Tijori, Kay Kay Menon",287859.0,"Thriller,Drama,Mystery,Crime",tt3483712,hi,3.512,2014,2 hrs 21 min,6.5,22
692,Mary Kom,Omung Kumar,"Priyanka Chopra, Minakkshi Kalitaa, Zachary Coffin",284288.0,"Action,Drama,History",tt3001638,hi,7.676,2014,2 hrs 2 min,7.0,83
693,Daawat-e-Ishq,Habib Faisal,"Aditya Roy Kapur, Parineeti Chopra, Anupam Kher",291154.0,"Drama,Romance,Comedy",tt3398052,hi,3.74,2014,1 hrs 58 min,6.9,46
694,Chaarfutiya Chhokare,Manish Harishankar,"Soha Ali Khan, Seema Biswas, Zakir Hussain",307211.0,"Drama,Thriller",tt3021244,hi,0.602,2014,1 hrs 59 min,0.0,0
695,Desi Kattey,Anand Kumar,"Suniel Shetty, Akhil Kapur, Jay Bhanushali, Sasha Agha, Tia Bajpai",295350.0,"Action,Drama",tt3877652,hi,0.888,2014,2 hrs 19 min,6.0,1
696,Bang Bang!,Siddharth Anand,"Hrithik Roshan, Katrina Kaif, Jaaved Jaaferi, Jimmy Shergill, Danny Denzongpa",283589.0,"Action,Adventure,Comedy,Romance",tt2905838,hi,12.204,2014,2 hrs 33 min,6.1,173
697,Haider,Vishal Bhardwaj,"Shahid Kapoor, Tabu, Kay Kay Menon, Shraddha Kapoor, Irrfan Khan",280795.0,"Crime,Action,Drama,Romance",tt3390572,hi,7.455,2014,2 hrs 30 min,7.2,198
698,Spark,V. K. Singh,"Rajniesh Duggal, Mansha Bahl, Subhashree Ganguly",548402.0,Action,tt3893476,hi,0.6,2014,0 hrs 0 min,0.0,0
699,Tamanchey,Navneet Behal,"Nikhil Dwivedi, Richa Chadda",298157.0,"Crime,Romance",tt2317135,hi,0.6,2014,1 hrs 53 min,3.5,4
700,Mumbai 125 KM,Hemant Madhukar,"Veena Malik, Karanvir Bohra, Vedita Pratap Singh, Aparna Bajpai",341368.0,Horror,tt2691010,hi,1.185,2014,1 hrs 40 min,3.3,3
701,Sonali Cable,Charudutt Acharya,"Rhea Chakraborty, Ali Fazal, Raghav Juyal, Anupam Kher, Smita Jaykar",297809.0,"Drama,Romance",tt2871010,hi,2.528,2014,2 hrs 7 min,5.7,6
702,Happy New Year,Farah Khan,"Shah Rukh Khan, Deepika Padukone, Abhishek Bachchan, Sonu Sood, Boman Irani, Vivaan Shah, Jackie Shroff",277432.0,"Action,Comedy,Crime",tt2461132,hi,9.36,2014,3 hrs 0 min,6.1,215
703,Fireflies,Sabal Singh Sheikhawat,"Rahul Khanna, Monica Dogra, Arjun Mathur, Shivani Ghai, Aadya Bedi",495603.0,"Drama,Family",tt2375666,hi,0.6,2014,1 hrs 40 min,7.0,1
704,Super Nani,Indra Kumar,"Rekha, Sharman Joshi, Randhir Kapoor, Shweta Kumar",299692.0,"Family,Drama",tt2630076,hi,2.335,2014,2 hrs 13 min,7.2,6
705,Rang Rasiya,Ketan Mehta,"Randeep Hooda, Nandana Sen, Paresh Rawal, Ashish Vidyarthi, Sachin Khedekar",302431.0,"Drama,History",tt1239276,hi,4.537,2014,2 hrs 12 min,6.2,18
706,The Shaukeens,Abhishek Sharma,"Akshay Kumar, Anupam Kher, Annu Kapoor, Lisa Haydon, Piyush Mishra",297019.0,Comedy,tt3848888,hi,1.978,2014,2 hrs 4 min,4.7,17
707,Kill Dil,Shaad Ali,"Ranveer Singh, Parineeti Chopra, Ali Zafar, Govinda",296690.0,"Action,Drama,Romance",tt3380264,hi,5.115,2014,2 hrs 7 min,5.3,36
708,Happy Ending,Raj Nidimoru and Krishna DK,"Saif Ali Khan, Ileana D'Cruz, Govinda, Ranvir Shorey, Kalki Koechlin",303281.0,Comedy,tt3017412,hi,3.579,2014,2 hrs 15 min,5.5,29
709,Ungli,Rensil D'Silva,"Sanjay Dutt, Emraan Hashmi, Randeep Hooda, Kangana Ranaut, Neha Dhupia, Neil Bhoopalam, Angad Bedi, Arunoday Singh",303904.0,"Thriller,Comedy,Drama",tt2392447,hi,4.208,2014,1 hrs 54 min,5.6,25
710,Zed Plus,Chandraprakash Dwivedi,"Adil Hussain, Mona Singh, Mukesh Tiwari, Sanjay Mishra, Kulbhushan Kharbanda, Rahul Singh, Shivani Tanksale, K K Raina, Ekavali Khanna, Anil Rastogi",309867.0,"Drama,Comedy",tt4190220,hi,0.6,2014,2 hrs 11 min,8.0,2
711,Zid,Vivek Agnihotri,"Karanvir Sharma, Mannara Chopra, Shraddha Das",310123.0,"Thriller,Romance",tt4228746,hi,2.906,2014,2 hrs 8 min,4.5,6
712,Action Jackson,Prabhu Deva,"Ajay Devgn, Sonakshi Sinha, Yami Gautam, Manasvi Mamgai, Kunaal Roy Kapur",308165.0,"Action,Thriller",tt0403935,hi,1.8,2014,2 hrs 24 min,4.3,25
713,Mumbai Delhi Mumbai,Satish Rajwade,"Shiv Panditt, Piaa Bajpai",307583.0,"Comedy,Romance",tt4045666,hi,1.988,2014,2 hrs 0 min,6.3,5
714,Sulemani Keeda,Amit Masurkar,"Naveen Kasturia, Mayank Tewari, Aditi Vasudev",264206.0,"Romance,Comedy",tt2679480,hi,0.805,2014,1 hrs 29 min,7.0,7
715,Main Aur Mr. Riight,Adeeb Rais,"Varun Khandelwal, Danny Saru, Shenaz Treasuryvala, Barun Sobti, Kavi Shastri, Maia Sethna, Anagha Mane, Neha Gosain",309158.0,"Romance,Comedy",tt2216852,hi,0.6,2014,2 hrs 10 min,4.7,3
716,PK,Rajkumar Hirani,"Aamir Khan, Anushka Sharma, Ranbir Kapoor, Parikshit Sahni, Sushant Singh Rajput, Sanjay Dutt, Boman Irani, Saurabh Shukla",297222.0,"Comedy,Drama,Science Fiction",tt2338151,hi,12.692,2014,2 hrs 33 min,7.7,854
717,Ugly,Anurag Kashyap,"Abir Goswami, Girish Kulkarni, Madhavi Singh, Ronit Roy, Anshikaa Shrivastava, Rahul Bhat, Tejaswini Kolhapure, Sandesh Jadhav",191726.0,"Thriller,Drama,Mystery,Crime",tt2882328,hi,13.061,2013,2 hrs 8 min,6.9,98
718,Table No. 21,Aditya Datt,"Paresh Rawal, Rajeev Khandelwal, Tina Desai",157129.0,"Adventure,Thriller",tt2229842,hi,5.792,2013,1 hrs 48 min,6.3,55
719,Dehraadun Diary,Milind Ukey,"Adhyayan Suman, Rohit Bakshi, Ragini Nandwani, Ashwini Kalsekar, Rati Agnihotri",162086.0,Thriller,tt2613942,hi,0.6,2013,1 hrs 50 min,5.0,1
720,Matru Ki Bijlee Ka Mandola,Vishal Bhardwaj,"Imran Khan, Anushka Sharma, Pankaj Kapur",139521.0,"Comedy,Drama",tt2106537,hi,4.668,2013,2 hrs 31 min,5.6,37
721,Mumbai Mirror,Ankush Bhatt,"Sachiin Joshi, Gihana Khan, Prakash Raj",162090.0,"Action,Crime,Thriller",tt2633826,hi,0.6,2013,2 hrs 16 min,7.0,1
722,Race 2,Abbas–Mustan,"Saif Ali Khan, Jacqueline Fernandez, John Abraham, Deepika Padukone, Anil Kapoor, Ameesha Patel",44749.0,Thriller,tt1375789,hi,8.253,2013,2 hrs 30 min,5.5,87
723,Akaash Vani,Luv Ranjan,"Kartik Tiwari, Nushrat Bharucha",181462.0,"Romance,Drama",tt2423132,hi,2.056,2013,0 hrs 0 min,5.8,9
724,Main Krishna Hoon,Animation/Musical,"Hrithik Roshan, Juhi Chawla, Rajneesh Duggal, Misti Mukherjee, Katrina Kaif",198556.0,"Animation,Family",tt1855268,hi,1.317,2013,2 hrs 15 min,7.0,1
725,Deewana Main Deewana,K.C. Bokadia,"Govinda, Priyanka Chopra",170241.0,"Comedy,Romance,Thriller",tt2361022,hi,2.293,2013,1 hrs 47 min,5.0,4
726,David,Bejoy Nambiar,"Vikram, Lara Dutta, Vinay Virmani, Neil Nitin Mukesh, Tabu",161040.0,"Action,Crime,Drama,Romance",tt2358412,hi,3.865,2013,2 hrs 35 min,5.8,18
727,Special 26,Neeraj Pandey,"Akshay Kumar, Kajal Aggarwal, Manoj Bajpayee, Anupam Kher, Jimmy Sheirgill[20]",165904.0,"Crime,Drama,Thriller",tt2377938,hi,8.389,2013,2 hrs 24 min,7.3,166
728,Jayantabhai Ki Luv Story,Vinnil Markan,"Vivek Oberoi, Neha Sharma[22]",189542.0,"Action,Comedy,Romance",tt2622130,hi,2.011,2013,2 hrs 10 min,4.5,8
729,Murder 3,Vishesh Bhatt,"Randeep Hooda, Aditi Rao Hydari, Sara Loren",168114.0,"Thriller,Drama,Mystery",tt2429640,hi,3.377,2013,2 hrs 4 min,3.7,23
730,Kai Po Che!,Abhishek Kapoor,"Sushant Singh Rajput, Rajkumar Rao, Amit Sadh, Amrita Puri",168245.0,Drama,tt2213054,hi,6.363,2013,2 hrs 6 min,6.9,110
731,Zila Ghaziabad,Anand Kumar,"Arshad Warsi, Vivek Oberoi, Sanjay Dutt, Minissha Lamba, Ravi Kishan, Paresh Rawal",168243.0,"Action,Crime,Drama",tt2171454,hi,2.313,2013,2 hrs 12 min,4.2,13
732,Bloody Isshq,Arup Dutta,"Akash Singh, Shilpa Anand, Tripta Parashar",326490.0,Romance,tt2404187,hi,0.6,2013,2 hrs 28 min,4.0,1
733,Saare Jahaan Se Mehnga,Anshul Sharma,"Sanjay Mishra, Ranjan Chhabra, Disha Pandey, Vishwa Mohan Badola, Pramod Pathak, Zakir Hussain",247472.0,"Comedy,Drama",tt2857500,hi,1.924,2013,2 hrs 0 min,7.0,6
734,Mere Dad Ki Maruti,Ashima Chibber,"Saqib Saleem, Ram Kapoor, Rhea Chakraborty, Prabal Panjabi",179711.0,Comedy,tt2323964,hi,1.597,2013,1 hrs 41 min,6.3,19
735,Rangrezz,Priyadarshan,"Jackky Bhagnani, Priya Anand, Rajpal Yadav, Evelyn Sharma",179656.0,"Action,Drama",tt2706264,hi,1.635,2013,2 hrs 23 min,5.5,5
736,Chashme Baddoor,David Dhawan,"Ali Zafar, Siddharth, Taapsee Pannu, Divyendu Sharma[37]",180853.0,"Comedy,Drama",tt2229848,hi,2.039,2013,2 hrs 0 min,4.5,22
737,Ek Thi Daayan,Kannan Iyer,"Emraan Hashmi, Huma Qureshi, Konkona Sen Sharma, Kalki Koechlin[40]",186747.0,"Horror,Romance,Thriller",tt2406676,hi,3.017,2013,2 hrs 15 min,5.2,23
738,Aashiqui 2,Mohit Suri,"Aditya Roy Kapur, Shraddha Kapoor, Shaad Randhawa[41]",192558.0,"Drama,Romance",tt2203308,hi,9.791,2013,2 hrs 12 min,6.9,127
739,Shootout at Wadala,Sanjay Gupta,"John Abraham, Anil Kapoor, Kangana Ranaut, Manoj Bajpayee, Sonu Sood, Tushar Kapoor, Ronit Roy, Mahesh Manjrekar, Karan Patel, Jackie Shroff, Raju Kher[43]",188640.0,"Action,Crime,Drama,History",tt2301155,hi,0.6,2013,2 hrs 30 min,5.9,26
740,Bombay Talkies,"Anurag Kashyap, Karan Johar, Zoya Akhtar, Dibakar Banerjee","Rani Mukerji, Nawazuddin Siddiqui, Randeep Hooda, Saqib Saleem, Sadashiv Amrapurkar, Katrina Kaif[44]",190940.0,"Drama,Romance",tt2797242,hi,6.28,2013,2 hrs 7 min,6.3,50
741,Go Goa Gone,"Raj Nidimoru, Krishna D.K.","Saif Ali Khan, Kunal Khemu, Vir Das, Puja Gupta[47]",191562.0,"Comedy,Horror",tt2436516,hi,5.962,2013,1 hrs 51 min,5.7,89
742,Gippi,Sonam Nair,"Riya Vij, Divya Dutta, Taaha Shah[48]",189800.0,"Romance,Comedy",tt2814372,hi,0.987,2013,2 hrs 18 min,6.0,2
743,Aurangzeb,Atul Sabharwal,"Arjun Kapoor, Prithviraj Sukumaran, Jackie Shroff, Rishi Kapoor, Sasha Agha[49]",188306.0,"Thriller,Action,Drama",tt2804026,hi,0.6,2013,2 hrs 17 min,6.3,18
744,Ishkq in Paris,Prem Raj,"Preity Zinta, Rhehan Malliek, Isabelle Adjani[51]",196313.0,"Comedy,Romance",tt1986040,hi,1.176,2013,1 hrs 35 min,5.6,7
745,Yeh Jawaani Hai Deewani,Ayan Mukerji,"Ranbir Kapoor, Deepika Padukone, Aditya Roy Kapur, Kalki Koechlin, Evelyn Sharma, Kunal Roy Kapoor, Madhuri Dixit[54]",185008.0,"Romance,Comedy",tt2178470,hi,10.938,2013,2 hrs 40 min,7.263,217
746,Yamla Pagla Deewana 2,Sangeeth Sivan,"Dharmendra, Sunny Deol, Bobby Deol, Neha Sharma, Kristina Akheeva[55]",199687.0,"Action,Comedy",tt2510874,hi,1.938,2013,2 hrs 34 min,3.7,12
747,Ankur Arora Murder Case,Suhail Tatari,"Kay Kay Menon, Paoli Dam, Arjun Mathur, Vishakha Singh, Harsh Chhaya[57]",211990.0,"Drama,Thriller",tt2912578,hi,1.679,2013,2 hrs 9 min,5.3,10
748,Raanjhanaa,Anand L. Rai,"Dhanush, Sonam Kapoor, Abhay Deol, Swara Bhaskar, Mohammed Zeeshan Ayyub Khan[58]",191121.0,"Drama,Romance",tt2359810,hi,9.993,2013,2 hrs 20 min,6.5,116
749,Enemmy,Ashu Trikha,"Mithun Chakraborty, Sunil Shetty, Mahakshay Chakraborty, Kay Kay Menon, Johnny Lever, Mahesh Manjrekar, Yuvika Chaudhary[59]",253709.0,Action,tt2941856,hi,0.84,2013,2 hrs 20 min,8.0,3
750,Shortcut Romeo,Susi Ganeshan,"Neil Nitin Mukesh, Ameesha Patel, Puja Gupta[60]",166217.0,"Action,Crime,Drama",tt2066062,hi,0.707,2013,0 hrs 0 min,4.2,3
751,Ghanchakkar,Rajkumar Gupta,"Emraan Hashmi, Vidya Balan, Rajesh Sharma[61]",192097.0,"Comedy,Crime,Thriller",tt2246724,hi,3.334,2013,2 hrs 17 min,5.3,26
752,Policegiri,K. S. Ravikumar,"Sanjay Dutt, Prakash Raj, Om Puri, Prachi Desai[63]",206301.0,"Action,Comedy",tt2861320,hi,2.693,2013,2 hrs 21 min,5.0,10
753,Bhaag Milkha Bhaag,Rakeysh Omprakash Mehra,"Farhan Akhtar, Sonam Kapoor, Divya Dutta, Pawan Malhotra[64]",206324.0,"History,Action,Drama",tt2356180,hi,9.745,2013,3 hrs 6 min,7.4,214
754,Sixteen,Raj Purohit,"Izabelle Leite, Darshan Jariwala, Wamiqa Gabbi, Highphill Mathew, Rohan Mehra[65]",232143.0,"Drama,Romance,Thriller",tt2976172,hi,1.07,2013,2 hrs 18 min,5.9,5
755,B.A. Pass,Ajay Bahl,"Shilpa Shukla, Shadab Kamal, Rajesh Sharma[66]",222951.0,Drama,tt2408040,hi,8.486,2012,1 hrs 35 min,5.7,31
756,Ramaiya Vastavaiya,Prabhudeva,"Girish Kumar, Shruti Haasan[68]",208036.0,"Romance,Action,Comedy",tt2357926,hi,3.298,2013,2 hrs 28 min,6.3,27
757,Ship of Theseus,Anand Gandhi,"Aida Al-Khashef, Niraj Kabi, Sohum Shah, Vinay Shukla[70]",128207.0,Drama,tt1773764,hi,5.137,2012,2 hrs 23 min,7.0,50
758,Issaq,Manish Tiwary,"Prateik Babbar, Amyra Dastur, Rajeshwari Sachdev, Evelyn Sharma, Ravi Kishan, Makarand Deshpande[71]",239586.0,Romance,tt2215163,hi,1.879,2013,2 hrs 28 min,4.0,4
759,Bajatey Raho,Shashant Shah,"Vinay Pathak, Ranvir Shorey, Ravi Kishan, Dolly Ahluwalia[72]",209257.0,"Comedy,Drama,Thriller",tt2848824,hi,1.327,2013,1 hrs 50 min,5.8,5
760,Nasha,Amit Saxena,"Poonam Pandey, Shivam, Ranbir Chakma[74]",215383.0,"Drama,Romance,Thriller",tt3044882,hi,2.463,2013,2 hrs 0 min,4.7,7
761,Chor Chor Super Chor,K. Rajesh,"Deepak Dobriyal, Anshul Kataria, Priya Bathija, Paru Uma[76]",244320.0,"Thriller,Comedy,Drama",tt2337292,hi,0.6,2013,1 hrs 39 min,8.0,1
762,Calapor,Dinesh P. Bhonsle,"Rituparna Sengupta, Priyanshu Chatterjee, Raghubir Yadav, Harsh Chhaya[77]",302141.0,Drama,tt3311236,hi,0.6,2013,1 hrs 58 min,0.0,0
763,Chennai Express,Rohit Shetty,"Shah Rukh Khan, Deepika Padukone[79]",205022.0,"Romance,Comedy,Action",tt2112124,hi,9.56,2013,2 hrs 21 min,6.5,282
764,Madras Cafe,Shoojit Sircar,"John Abraham, Nargis Fakhri",215776.0,"Thriller,Drama,Action",tt2855648,hi,9.479,2013,2 hrs 10 min,6.5,97
765,Satyagraha,Prakash Jha,"Amitabh Bachchan, Ajay Devgn, Kareena Kapoor, Arjun Rampal, Amrita Rao, Manoj Bajpai[81]",217446.0,Drama,tt2275802,hi,2.788,2013,2 hrs 32 min,6.2,30
766,Zanjeer,Apoorva Lakhia,"Ram Charan, Priyanka Chopra, Sanjay Dutt, Mahie Gill, Prakash Raj, Atul Kulkarni[82]",218898.0,"Action,Crime,Drama",tt2357489,hi,3.766,2013,2 hrs 18 min,4.5,26
767,Shuddh Desi Romance,Maneesh Sharma,"Sushant Singh Rajput, Parineeti Chopra, Vaani Kapoor, Rishi Kapoor[83]",209410.0,"Drama,Romance",tt2988272,hi,3.78,2013,2 hrs 21 min,5.8,57
768,Siddharth,Richie Mehta,Rajesh Tailang,212754.0,Drama,tt2932606,hi,0.84,2013,1 hrs 36 min,7.1,9
769,John Day,Ahishor Solomon,"Naseeruddin Shah, Randeep Hooda[85]",223806.0,Drama,tt2699840,hi,0.6,2013,2 hrs 17 min,5.1,7
770,Horror Story,Ayush Raina,"Karan Kundra, Nishant Singh Malkani, Ravish Desai, Hasan Zaidi, Sheetal Singh, Aparna Bajpai, Radhika Menon, Nandini Vaid[86]",242441.0,Horror,tt3177332,hi,3.087,2013,1 hrs 31 min,4.5,57
771,Phata Poster Nikhla Hero,Rajkumar Santoshi,"Shahid Kapoor, Ileana D'Cruz, Parul Yadav, Padmini Kolhapure, Darshan Jariwala[87]",222430.0,"Action,Comedy",tt2615584,hi,3.058,2013,2 hrs 26 min,5.2,56
772,The Lunchbox,Ritesh Batra,"Irrfan Khan, Nawazuddin Siddiqui, Bharati Achrekar[88]",191714.0,"Drama,Romance",tt2350496,hi,10.327,2013,1 hrs 44 min,7.328,612
773,Maazii,Jaideep Chopra,"Sumeet Nijhawan, Mona Wasu, Pankaj Tripathi, Mohd. Zeeshan Ayyub, Manish Chaudhary[90]",468652.0,"Crime,Thriller,Drama",tt2554042,hi,1.982,2013,1 hrs 29 min,0.0,0
774,Super Model,Navin Batra,"Veena Malik, Ashmit Patel, Jackie Shroff[92]",326903.0,"Drama,Romance",tt2375567,hi,1.751,2013,2 hrs 23 min,1.0,1
775,Besharam,Abhinav Kashyap,"Ranbir Kapoor, Pallavi Sharda, Rishi Kapoor, Neetu Singh[93]",218779.0,"Comedy,Action",tt2576450,hi,4.468,2013,2 hrs 23 min,4.7,32
776,Paapi - Ek Satya Katha,Aziz Sejawal,"Arya Babbar, Prosenjit Chatterjee, Sayantika Banerjee, Pooja Bharti, Rajesh Sharma, Harish Patel[97]",305848.0,Crime,tt2406674,hi,0.704,2013,1 hrs 55 min,0.0,0
777,Boss,Anthony D'Souza,"Akshay Kumar, Mithun Chakraborty, Danny Denzongpa, Ronit Roy, Aditi Rao Hydari, Shiv Panditt, Johny Lever[98]",228355.0,"Action,Comedy,Drama",tt2571140,hi,4.642,2013,2 hrs 23 min,5.6,58
778,Shahid,Hansal Mehta,"Rajkummar Rao, Tigmanshu Dhulia, Kay Kay Menon, Prabal Panjabi[99]",128206.0,"Drama,Crime",tt2181831,hi,3.971,2013,2 hrs 9 min,7.4,53
779,Dilli Gang,Ashish Tyagi,"Darshan Jariwala, Neena Kulkarni, Yashpal Sharma, Amir Dalvi, Asif Basra, Asif Ali[102]",509909.0,Thriller,tt6923514,hi,0.6,2013,1 hrs 36 min,5.0,1
780,Mickey Virus,Saurabh Varma,"Manish Paul, Elli Avram, Varun Badola, Manish Chaudhary, Puja Gupta[103]",228648.0,"Comedy,Thriller",tt2796318,hi,1.705,2013,2 hrs 15 min,5.4,17
781,Ishk Actually,Anish Khanna,"Rajeev Khandelwal, Rayo Bakhirta, Neha Ahuja, Ann Mitchai, Neha Ghelot, Siddharth Van Shipley[104]",254086.0,"Romance,Drama",tt2706340,hi,0.844,2013,1 hrs 39 min,0.0,0
782,Krrish 3,Rakesh Roshan,"Hrithik Roshan, Priyanka Chopra, Kangana Ranaut, Vivek Oberoi[106]",204435.0,"Action,Science Fiction",tt1029231,hi,9.088,2013,2 hrs 32 min,5.7,147
783,Satya 2,Ram Gopal Varma,"Puneet Singh Ratn, Anaika Soti,[107] Mahesh Thakur, Aradhna Gupta,[108][109] Raj Premi, Vikram Singh[110]",242084.0,"Crime,Drama",tt3059106,hi,1.371,2013,2 hrs 42 min,5.9,6
784,Rajjo,Vishwas Patil,"Kangana Ranaut, Paras Arora, Mahesh Manjrekar, Prakash Raj, Jaya Prada",348094.0,"Romance,Drama",tt2438764,hi,3.26,2013,2 hrs 17 min,3.0,1
785,Goliyon Ki Raasleela Ram-Leela,Sanjay Leela Bhansali,"Ranveer Singh, Deepika Padukone, Richa Chadda, Supriya Pathak[111]",235984.0,"Drama,Romance",tt2215477,hi,11.256,2013,2 hrs 35 min,7.0,161
786,Gori Tere Pyaar Mein,Punit Malhotra,"Imran Khan, Kareena Kapoor, Shraddha Kapoor, Anupam Kher[112]",237305.0,"Comedy,Romance",tt2275794,hi,4.287,2013,2 hrs 30 min,6.0,43
787,Bullett Raja,Tigmanshu Dhulia,"Saif Ali Khan, Sonakshi Sinha, Jimmy Sheirgill, Vidyut Jamwal, Chunky Pandey[114]",220495.0,"Action,Crime,Drama",tt2551378,hi,3.208,2013,2 hrs 18 min,5.8,28
788,R... Rajkumar,Prabhudeva,"Shahid Kapoor, Sonakshi Sinha, Sonu Sood, Asrani, Ashish Vidyarthi[115]",240614.0,"Action,Romance",tt2369154,hi,6.653,2013,2 hrs 26 min,6.3,82
789,Jackpot,Kaizad Gustad,"Sachiin J Joshi, Naseeruddin Shah, Sunny Leone[116]",243831.0,"Comedy,Thriller",tt3309662,hi,1.294,2013,2 hrs 12 min,3.5,3
790,What the Fish,Gurmmet Singh,"Dimple Kapadia, Manu Rishi, Manjot Singh, Anand Tiwari",278264.0,"Adventure,Comedy,Drama",tt3357416,hi,0.6,2013,1 hrs 38 min,5.5,7
791,Dhoom 3,Vijay Krishna Acharya,"Aamir Khan, Abhishek Bachchan, Katrina Kaif, Uday Chopra, Jackie Shroff, Vikas Shrivastav",44977.0,"Action,Crime,Thriller",tt1833673,hi,14.521,2013,2 hrs 52 min,6.0,240
792,Players,Abbas–Mustan,"Vinod Khanna, Abhishek Bachchan, Bipasha Basu, Sonam Kapoor, Bobby Deol, Neil Nitin Mukesh, Sikander Kher, Omi Vaidya, Johnny Lever, Vyacheslav Razbegaev[3]",83382.0,"Action,Crime,Thriller",tt1784589,hi,4.771,2012,2 hrs 45 min,5.2,44
793,Chaalis Chauraasi,Hriday Shetty,"Naseeruddin Shah, Atul Kulkarni, Kay Kay Menon, Ravi Kishan[4]",84238.0,"Crime,Drama,Thriller",tt2184125,hi,0.75,2012,1 hrs 55 min,6.0,2
794,Agneepath,Karan Malhotra,"Hrithik Roshan, Sanjay Dutt, Rishi Kapoor, Priyanka Chopra, Om Puri, Zarina Wahab[7]",84858.0,"Action,Crime,Drama",tt1849718,hi,7.641,2012,2 hrs 54 min,6.4,126
795,Gali Gali Chor Hai,Rumi Jaffrey,"Akshaye Khanna, Shriya Saran, Mugdha Godse, Satish Kaushik, Vijay Raaz[8]",84879.0,"Drama,Action",tt2188749,hi,1.986,2012,0 hrs 0 min,2.8,6
